"IR8AW-6","ir8aw.dyndns.org","9000","DX Spider"
"IR8AW-8","ir8aw.dyndns.org","7300","AR-Cluster"
"IR9ESI","esiclu.dyndns.org","7000","DX Spider"
"IS0GRB-6","is0grb.it","41112","DX Spider"
"IT9ABY-6","it9aby-6.redirectme.net","8000","AR-Cluster"
"IT9BLB-6","aripa.no-ip.org","8000","AR-Cluster"
"IT9HZC-9","151.38.27.211","8000","DX Spider"
"IT9LCP-6","62.94.37.172","41112","DX Spider"
"IT9OBK-6","it9obk.org","41112","DX Spider"
"IT9WDY-6","it9wdy-6.dyndns.org","41112","DX Spider"
"IV3SCP-6","iv3scp.dyndns.org","7300","DX Spider"
"IW5DAM-GW","radio-linux.isti.cnr.it","23","AWZNode"
"IW5ECF-6","ham.homelinux.org","8000","DX Spider"
"IW8PGT-9","iw8pgt.org","8000","DX Spider"
"IW9FDD-6","iw9fdd.homeip.net","7300","DX Spider"
"IW9FRA-6","dxspider.iw9fra.com","7300","DX Spider"
"IZ0FKE","clx.noantri.org","23","AR-Cluster"
"IZ3LCJ-6","151.43.60.58","8000","DX Spider"
"IZ5FSA-6","iz5fsa.homedns.org","7300","DX Spider"
"IZ6FZS-6","iz6fzs.dyndns.org","9000","DX Spider"
"IZ7AUH-6","dx.iz7auh.net","8000","DX Spider"
"IZ8BRI-6","iz8bri.dyndns.org","9000","DX Spider"
"IZ8FST-6","iz8fst.dyndns.org","9000","DX Spider"
"JA1YSS-9","dxc.ja1yss.org","7300","DX Spider"
"JA2YYF","ja2yyf.dxcluster.jp","23","AR-Cluster"
"JA2YYF-9","ja2yyf.dxcluster.jp","7300","DX Spider"
"JA3AZD-7","ja3azd.dyndns.org","9000","DX Spider"
"JA3QGI-4","linux.figaro.gr.jp","9000","DxNet"
"JA4PXC-11","bld.dxscape.com","8000","DxNet"
"JA8IYI","ja8iyi-telnet.jp","23","AR-Cluster"
"JA9IPF","ja9ipf.dyndns.org","9000","DX Spider"
"JE3YEK","ja3yaq.ampr.org","9000","DX Spider"
"JF1OCQ","w1vx.atnifty.com","23","WinCluster"
"JG1VGX-9","dxc.jg1vgx.net","7300","DX Spider"
"JH1RFM-11","jh1rfm.ddo.jp","9000","DxNet"
"JH1RFM-9","jh1rfm.ddo.jp","7300","DX Spider"
"JH2ZYY","jh2zyy.d2g.com","23","AR-Cluster"
"JH3LFL","www.610dx.com","41112","CLX"
"JH6VLF-11","jh6vlf.ddo.jp","8000","DxNet"
"JI2ZOI-9","ji2zoi.dxcluster.jp","7373","CC Cluster"
"JK1ZRW-11","jk1zrw.dyndns.org","41112","CLX"
"JK1ZRW-9","jk1zrw.dyndns.org","7300","DX Spider"
"JL1UXH-11","jl1uxh.ddo.jp","23","DxNet"
"K0GND","k0gnd.unl.edu","23","AR-Cluster"
"K0MN","k0mn.no-ip.org","23","AR-Cluster"
"K1AJ","k1aj.mine.nu","7300","DX Spider"
"K1EA","dxc.k1ea.com","7300","DX Spider"
"K1EU","k1eu.dynip.com","23","AR-Cluster"
"K1KAA","dx.413ma.org","23","AR-Cluster"
"K1RK","falara.whoi.edu","23","DX Spider"
"K1TTT","dxc.k1ttt.net","23","AR-Cluster"
"K1XX","dxc.k1xx.com","7300","DX Spider"
"K2CAN","k2can.net","4000","AR-Cluster"
"K2HVC","cluster.hvcdx.com","7300","DX Spider"
"K2LS","dxc.k2ls.com","23","DX Spider"
"K2UT","k2ut.gofrc.org","23","DX Spider"
"K3LR","dx.k3lr.com","23","AR-Cluster"
"K3NC","dxc.k3nc.com","23","CC Cluster"
"K3SKE","dxc.k3ske.net","23","AR-Cluster"
"K3WW","k3ww.gofrc.org","7300","DX Spider"
"K4AU","k4au.no-ip.org","23","CC Cluster"
"K4FX","dxc.k4fx.net","7300","DX Spider"
"K4JW","k4jw.no-ip.com","41414","DX Spider"
"K4MD","k4md.no-ip.com","23","AR-Cluster"
"K4QC","hvldx.tzo.com","41112","CLX"
"K4SAC-1","k4sac.brescia.edu","7300","DX Spider"
"K4UGA","k4uga.uga.edu","599","DX Spider"
"K4UJ-2","cluster.dx-is.org","23","DX Spider"
"K5DX","dxc.tdxs.net","23","AR-Cluster"
"K5MDX","dxc.mdxa.org","23","AR-Cluster"
"K5TL","65.13.189.249","23","AR-Cluster"
"K5UTD","cluster.k5utd.org","23","AR-Cluster"
"K6KOZ","k6koz.serveftp.com","7300","AR-Cluster"
"K6LLK","dxc.k6llk.com","23","AR-Cluster"
"K6NP","k6np.no-ip.org","23","AR-Cluster"
"K7AR","k7ar.net","7300","AR-Cluster"
"K7EK-1","k7ek.dyndns.org","9000","DX Spider"
"K7SDX","k7sdx.no-ip.org","7300","DX Spider"
"K7TJ-1","k7tj.ewarg.org","7300","DX Spider"
"K8AZ","k8az.no-ip.com","23","AR-Cluster"
"K8SMC","k8smc.com","23","CC Cluster"
"K9AJ","dxc.k9aj.net","23","AR-Cluster"
"K9USA","soliton.csl.uiuc.edu","8000","DX Spider"
"KA5EYH-1","dxc-ts-ka5eyh.drhnet.com","23","AR-Cluster"
"KA5EYH-2","dxc-ka5eyh.drhnet.com","23","AR-Cluster"
"KB1H","dxc.kb1h.com","7300","DX Spider"
"KB2FAF-12","kb2faf.net","7300","DX Spider"
"KB2SYD-5","dx.scarcnj.org","7300","DX Spider"
"KB5VJY-1","209.209.194.166","23","DX Spider"
"KB7HDX","kb7hdx.dyndns.org","7300","DX Spider"
"KB8UVN-2","radio-linux.isti.cnr.it","23","DX Spider"
"KB9RNO","kb9tpg.no-ip.org","23","WinCluster"
"KC0AVQ","kc0avq.dyndns.org","23","AR-Cluster"
"KC2CWT-9","kc2cwt.net","7300","DX Spider"
"KC5NYO","kc5nyo.dns2go.com","23","AR-Cluster"
"KD4GCA-9","kd4gca.dyndns.org","7300","DX Spider"
"KE2OI","ke2oi.dyndns.org","7300","DX Spider"
"KG5NE","kg5ne.no-ip.com","23","AR-Cluster"
"KL7G","69.178.9.102","8000","DX Spider"
"KN0L","kn0l.no-ip.com","23","AR-Cluster"
"KN2M","kn2m.d2g.com","23","AR-Cluster"
"KN4F","dxc.kn4f.net","23","AR-Cluster"
"KN8COQ","kn8coq.wmfd.com","23","AR-Cluster"
"KN9N","kn9n.no-ip.org","7300","DX Spider"
"KP3DX","136.145.86.189","23","AR-Cluster"
"KP4JRS","kp4jrs.dyndns.org","23","DX Spider"
"KR9U","kr9u.net","23","AR-Cluster"
"KS4Q","dx.ks4q.net","23","CC Cluster"
"KS9W","209.172.190.22","23","AR-Cluster"
"KY4DX","ky4dx.no-ip.com","23","AR-Cluster"
"LA1B-9","193.75.61.192","7300","DX Spider"
"LA3R-6","la3r-6.shacknet.nu","9000","DX Spider"
"LA7Q-6","la7q.shacknet.nu","9000","DxNet"
"LU9DA-6","lu9da.dyndns.org","9000","DX Spider"
"LX0IST-7","radio-linux.isti.cnr.it","23","CLX"
"N0BIL","dx.nmdxa.org","23","AR-Cluster"
"N0CDA-1","n0cda.homedns.org","7300","DX Spider"
"N0VD-8","cluster.dx-central.com","23","DX Spider"
"N1HEJ","24.159.45.170","7300","DX Spider"
"N1OFZ-5","n1ofz.dyndns.org","7300","DX Spider"
